name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Fatcoin,$0.02713,+1.31%,+14.54%,"$2,920,472","$9,267"
Hush,$0.2798,+114.35%,+247.33%,"$2,917,737","$16,605"
1World,$0.07827,-0.08%,+16.34%,"$2,913,325","$8,406"
SunContract,$0.02371,-1.29%,+6.88%,"$2,909,119","$209,615"
Horizon Protocol,$0.07248,-1.81%,+10.53%,"$2,899,177","$68,496"
xSuter,$144.50,+1.11%,-1.92%,"$2,890,072","$199,102"
Legend of Fantasy War,$0.3732,+1.98%,-11.03%,"$2,872,807","$180,597"
FantomStarter,$0.02771,-3.09%,+1.04%,"$2,868,056","$110,924"
Vanilla Network,$4.40,-2.38%,+5.12%,"$2,867,079","$10,339"
Ycash,$0.2357,-1.09%,-15.52%,"$2,860,538","$16,657"
Spore,$0.0...07888,-6.57%,+2.16%,"$2,847,935","$8,620"
KickToken,$0.02298,+2.86%,+2.17%,"$2,842,082","$302,322"
Zap,$0.01203,-7.14%,+24.42%,"$2,841,368","$80,348"
HTMLCOIN,$0.00005351,-3.78%,+2.91%,"$2,839,644","$4,490"
Tycoon,$0.03598,+0.47%,-6.36%,"$2,833,255","$180,979"
SmartCash,$0.002003,+2.63%,+22.05%,"$2,832,425","$142,395"
BOOM,$0.00364,+0.09%,-0.19%,"$2,832,121","$80,049"
Polis,$0.2873,+2.16%,-5.60%,"$2,825,138","$78,019"
Zenfuse,$0.04342,+2.67%,+12.55%,"$2,818,115","$152,630"
BillionHappiness,$56.05,-0.03%,+18.02%,"$2,802,295","$207,307"
Cryptonovae,$0.05809,+5.40%,+5.96%,"$2,801,231","$13,540"
Lightning Bitcoin,$0.7198,+20.07%,+61.49%,"$2,778,913","$188,110"
CumStar,$0.000000004687,-0.17%,+61.67%,"$2,771,604",$337
PumaPay,$0.00008899,+2.13%,-7.01%,"$2,770,429","$269,349"
Leverj Gluon,$0.0089,-7.98%,+9.49%,"$2,754,668",$54
carVertical,$0.0003593,+5.84%,+17.29%,"$2,739,839","$283,636"
ASKO,$0.02075,+6.92%,+8.70%,"$2,738,110","$111,169"
Beyondfi,$0.3089,+15.46%,+46.75%,"$2,738,109","$770,513"
UnMarshal,$0.3849,+1.11%,-8.02%,"$2,731,092","$399,777"
Redpanda Earth,$0.0...06874,+3.25%,+17.89%,"$2,716,241","$216,910"
CRD Network,$0.0027,+2.82%,+15.94%,"$2,700,316",$235
Bistroo,$0.06171,+4.64%,+22.14%,"$2,688,614","$83,313"
Reward Hunters Token,$0.003342,+1.60%,+10.16%,"$2,673,273","$3,872"
Coinracer,$0.05684,+3.13%,+1.04%,"$2,663,543","$142,758"
Etho Protocol,$0.04624,-0.01%,+5.61%,"$2,659,966","$203,047"
Viacoin,$0.1137,+1.65%,+14.76%,"$2,634,841","$4,514"
YUMMY,$0.00000715,-3.36%,-6.41%,"$2,627,132","$131,945"
SAFE DEAL,$2.09,-2.72%,-3.65%,"$2,603,508","$417,165"
TransferCoin,$0.3122,+0.47%,+18.29%,"$2,590,332",N/A
Gleec,$0.1239,-0.99%,+80.50%,"$2,585,126","$908,385"
CPChain,$0.006816,+1.11%,+16.99%,"$2,567,955","$862,579"
Carbon,$0.07784,+3.34%,+14.60%,"$2,559,301","$104,085"
Inex Project,$0.0002345,+0.62%,+18.34%,"$2,553,804",N/A
Indexed Finance,$2.99,-18.04%,+14.83%,"$2,551,812","$76,313"
DAEX,$0.007184,+3.15%,-14.56%,"$2,547,937","$96,816"
PowerTrade Fuel,$0.1089,-0.36%,+12.19%,"$2,537,571","$126,191"
SIRIN LABS Token,$0.005155,-0.42%,+19.11%,"$2,535,498","$11,949"
ASPO World,$0.2088,+3.07%,-3.95%,"$2,530,711","$93,532"
Medicalchain,$0.007839,+28.20%,+21.17%,"$2,516,070","$63,741"
Verso,$0.04479,+3.88%,+16.17%,"$2,511,913","$90,859"
Realio Network,$0.3817,+0.09%,+123.77%,"$2,507,477","$318,244"
Argentine Football Association Fan Token,$1.77,+1.26%,-3.37%,"$2,489,689","$6,771"
Teloscoin,$0.01487,+0.88%,+0.54%,"$2,488,666","$34,381"
RealTract,$0.0002345,+0.62%,+18.34%,"$2,485,796",N/A
Open Platform,$0.002332,-10.58%,+20.15%,"$2,475,702","$419,191"
Unitrade,$0.08697,+10.51%,+18.11%,"$2,474,948","$191,880"
Centaur,$0.0008922,+0.30%,+2.79%,"$2,466,131","$369,589"
Dynamic,$0.16,+1.03%,+12.45%,"$2,461,641",$119
Isiklar Coin,$0.5966,-0.55%,+1.28%,"$2,460,773","$421,010"
UREEQA,$0.08843,-1.42%,-2.65%,"$2,449,577","$7,769"
Emercoin,$0.05006,+8.66%,+22.32%,"$2,440,942","$24,054"
Raven Protocol,$0.0005424,-0.15%,-15.48%,"$2,437,789","$5,182"
Skrumble Network,$0.002379,+7.88%,+9.70%,"$2,430,810","$185,345"
EOSDT,$0.9102,+0.71%,+2.43%,"$2,405,321",N/A
Unicly Mystic Axies Collection,$0.2403,+2.89%,+14.72%,"$2,403,176","$3,480"
8PAY,$0.03999,+2.36%,+2.21%,"$2,399,603","$116,664"
