name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Dero,$12.20,+4.41%,+60.40%,"$136,339,068","$595,790"
Merit Circle,$3.20,+11.16%,+48.27%,"$136,116,190","$23,467,696"
SingularityNET,$0.1386,+0.20%,+7.27%,"$135,412,095","$3,968,298"
XCAD Network,$5.56,+2.61%,+25.98%,"$135,246,046","$2,130,025"
GXChain,$1.80,-5.28%,+25.75%,"$135,057,938","$32,983,290"
Wrapped NCG (Nine Chronicles Gold),$1.11,+4.77%,+5.36%,"$133,357,161","$5,145,161"
Decentral Games [Old],$384.32,-0.62%,+20.22%,"$133,243,361","$155,656"
IDEX,$0.2094,+11.89%,-34.77%,"$133,050,774","$164,794,511"
MVL,$0.009946,-0.64%,+12.04%,"$132,582,367","$1,771,870"
Chrono.tech,$186.45,-6.67%,-30.10%,"$132,397,161","$1,285,822"
Ellipsis,$0.2224,+21.12%,+40.37%,"$132,159,958","$24,501,340"
Aavegotchi,$2.08,+0.74%,+3.44%,"$131,944,716","$28,074,120"
Sport and Leisure,$0.1936,+3.10%,+20.54%,"$131,407,676","$1,110,168"
Rakon,$0.5396,+2.83%,+18.65%,"$131,042,880","$801,621"
Proton,$0.01438,+0.29%,+50.47%,"$130,693,560","$5,255,005"
Venus ETH,$64.38,+3.23%,+19.26%,"$130,939,321",N/A
Gitcoin,$9.08,+6.24%,+22.74%,"$128,985,092","$29,095,618"
Mines of Dalarnia,$1.04,-5.30%,+29.65%,"$128,156,384","$46,322,323"
Crabada,$1.85,+8.35%,+41.58%,"$128,067,422","$10,263,976"
Alien Worlds,$0.1394,+3.55%,+32.45%,"$127,427,197","$86,851,996"
Acala Token,$1.81,+5.99%,+47.13%,"$125,488,518","$14,794,802"
ssv.network,$12.45,+8.01%,+44.02%,"$124,486,600","$1,366,123"
Beta Finance,$0.4842,-0.20%,+9.11%,"$123,867,660","$38,381,284"
TrueFi,$0.2255,+5.30%,+21.85%,"$123,781,829","$7,808,078"
PEAKDEFI,$0.09665,-2.23%,+4.39%,"$123,174,079","$320,522"
FUNToken,$0.0111,+2.16%,+13.04%,"$122,030,016","$4,284,359"
AVINOC,$0.3121,+4.02%,+28.31%,"$121,499,182","$716,635"
Biswap,$0.6354,+1.63%,+4.79%,"$121,474,375","$7,986,007"
Utrust,$0.2619,+1.45%,+16.54%,"$120,496,445","$4,299,073"
Covalent,$0.4697,+3.00%,+23.14%,"$119,708,083","$1,468,048"
Venus,$9.94,+2.16%,+28.90%,"$119,692,859","$10,279,240"
TomoChain,$1.34,-1.11%,+22.66%,"$119,455,444","$6,271,139"
STASIS EURO,$1.14,-0.79%,-0.20%,"$118,969,473","$2,876,792"
Metal,$1.78,-2.89%,+11.29%,"$118,769,859","$23,340,385"
sUSD,$0.9993,+0.01%,-0.04%,"$118,312,170","$9,437,483"
Ergo,$3.69,+0.30%,+8.97%,"$118,212,057","$1,301,282"
DeFi Pulse Index,$210.48,+3.36%,+14.79%,"$117,654,120","$258,251"
Enzyme,$65.50,+6.64%,+20.31%,"$117,413,803","$7,236,510"
Vectorspace AI,$2.96,+4.76%,+14.18%,"$117,197,089","$359,773"
Ampleforth,$1.09,+2.72%,+11.13%,"$116,899,089","$2,037,339"
Strike,$37.39,+2.22%,-4.39%,"$116,291,899","$23,284,572"
QuarkChain,$0.01809,+1.73%,+14.73%,"$115,777,550","$2,104,601"
ABBC Coin,$0.1196,-0.15%,-1.17%,"$115,743,708","$36,189,822"
Star Atlas,$0.05316,+1.92%,+11.31%,"$114,819,252","$15,395,804"
KILT Protocol,$2.30,-1.97%,+23.97%,"$113,631,912","$1,045,417"
Smooth Love Potion,$0.02809,+42.29%,+203.23%,"$112,303,624","$2,078,149,438"
Sovryn,$5.32,+1.51%,+10.43%,"$111,968,421","$307,810"
Circuits of Value,$0.06193,-0.18%,+7.09%,"$110,650,013","$1,897,313"
Deeper Network,$0.1063,+2.93%,+4.10%,"$110,185,652","$2,015,755"
CUDOS,$0.03869,+9.75%,+44.92%,"$110,000,935","$1,064,154"
Sologenic,$0.5457,+0.62%,+40.43%,"$109,147,065","$781,589"
ARPA Chain,$0.08661,-0.24%,+47.01%,"$107,652,157","$43,492,189"
dKargo,$0.1052,-0.07%,+13.35%,"$107,068,207","$5,836,741"
Centrifuge,$0.5997,+0.97%,+2.25%,"$107,069,798","$303,902"
RSK Smart Bitcoin,"$43,780.81",+1.00%,+18.80%,"$106,357,581","$37,278"
RFOX,$0.08079,-1.86%,+38.11%,"$106,000,470","$1,903,333"
Handshake,$0.228,+3.23%,+13.69%,"$105,951,584","$327,648"
XeniosCoin,$1.38,-0.41%,+8.17%,"$105,227,893","$53,244"
Uquid Coin,$10.50,+1.82%,+11.74%,"$104,971,822","$7,467,236"
Presearch,$0.2623,+0.18%,+9.39%,"$104,031,291","$1,414,654"
Mirror Protocol,$1.33,+0.84%,+13.41%,"$103,648,994","$20,234,991"
Everipedia,$0.01032,+3.26%,+11.24%,"$103,435,603","$4,012,115"
Clover Finance,$0.396,+3.97%,+22.41%,"$103,347,312","$16,147,391"
Voxies,$1.79,+1.32%,+0.49%,"$102,815,351","$13,507,573"
Chainbing,$3.11,+10.78%,+10.82%,"$102,530,127","$285,487"
Aleph.im,$0.5471,+0.05%,+9.57%,"$102,433,599","$691,521"
Ribbon Finance,$1.99,+15.97%,+32.96%,"$101,825,813","$5,071,131"
Balancer,$14.66,+1.61%,+26.06%,"$101,782,310","$16,072,213"
Venus USDC,$0.02133,-0.00%,+0.08%,"$101,776,283",N/A
Terra Virtua Kolect,$0.149,+0.76%,+22.61%,"$101,664,964","$7,698,928"
X World Games,$0.08323,+9.68%,+12.87%,"$99,879,494","$1,438,210"
Somnium Space Cubes,$7.98,+3.03%,+18.48%,"$99,705,720","$589,662"
cVault.finance,"$9,939.48",-7.70%,+5.50%,"$99,394,789","$226,247"
bZx Protocol,$0.2452,+13.70%,+24.37%,"$98,396,715","$1,213,588"
Adventure Gold,$1.39,+18.49%,+2.17%,"$97,866,149","$68,723,716"
Linear,$0.02972,+6.92%,+27.55%,"$96,877,907","$23,378,860"
DeRace,$2.18,+1.21%,+35.68%,"$96,718,658","$1,932,894"
Swarm,$1.91,-2.04%,-1.99%,"$96,002,763","$1,972,356"
EverRise,$0.001503,+8.15%,+66.35%,"$96,002,249","$3,039,636"
Hoo Token,$1.16,+0.78%,+6.54%,"$95,587,261","$9,369,927"
SafePal,$0.8823,-1.61%,+12.02%,"$95,440,724","$19,186,590"
CertiK,$1.39,-0.56%,+9.49%,"$94,958,512","$7,466,405"
IRISnet,$0.07785,+5.85%,+15.84%,"$94,686,388","$7,362,458"
Samoyedcoin,$0.02925,+7.90%,+37.69%,"$94,562,431","$8,218,603"
DFI.Money,"$2,434.81",+1.66%,+8.99%,"$93,973,751","$13,777,669"
Elastos,$4.60,-2.39%,+4.83%,"$93,653,494","$698,143"
LCX,$0.124,-1.26%,+14.27%,"$93,203,035","$1,009,884"
VVS Finance,$0.00004088,+4.44%,+27.53%,"$93,621,110","$6,716,423"
Cratos,$0.00511,-1.69%,-7.58%,"$92,959,489","$19,511,211"
MovieBloc,$0.00687,+0.96%,+16.31%,"$92,935,187","$4,818,030"
Celo Dollar,$0.9932,+0.03%,-0.03%,"$92,795,061","$1,204,643"
STAKE,$11.38,+4.70%,+26.04%,"$92,676,468","$516,627"
Aurory,$9.61,+3.11%,+6.45%,"$92,239,935","$1,957,158"
Wanchain,$0.4765,+2.66%,+17.74%,"$91,818,574","$1,828,606"
Vega Protocol,$8.13,+4.10%,+35.44%,"$91,618,257","$4,203,323"
ZB Token,$0.1951,+1.09%,+13.63%,"$90,398,501","$490,720"
Toko Token,$0.8207,+2.43%,+13.79%,"$89,043,814","$14,405,697"
TrustSwap,$0.9112,-2.49%,-8.75%,"$88,890,754","$870,820"
Flamingo,$0.283,+4.96%,+18.73%,"$88,387,757","$9,452,408"
Zenon,$13.90,+16.68%,+54.00%,"$88,044,994","$247,636"
HyperDAO,$0.02583,+1.28%,-31.21%,"$87,875,980","$401,966"
Klever,$0.02569,+0.13%,+13.85%,"$87,277,453","$708,757"
AIOZ Network,$0.222,+4.76%,+20.14%,"$86,935,152","$857,178"
Kin,$0.00005041,+2.79%,-2.18%,"$86,560,234","$4,624,336"
Bloomzed Loyalty Club Ticket,$2.27,-15.64%,-21.60%,"$86,112,395","$20,962"
RChain,$0.1346,-3.13%,+4.90%,"$85,992,698","$1,637,763"
AllianceBlock,$0.3672,-1.05%,+3.09%,"$85,546,641","$1,533,915"
ankrETH,"$2,909.24",+3.27%,+23.55%,"$85,327,883","$1,066"
Shapeshift FOX Token,$0.3641,+2.99%,+6.50%,"$84,539,450","$807,085"
Efinity Token,$0.4978,+0.88%,+17.14%,"$84,557,050","$9,360,842"
Alpha Quark Token,$3.21,+3.36%,+16.24%,"$83,604,503","$10,900,859"
HUNT,$0.7554,-0.18%,-2.43%,"$83,366,619","$14,382,281"
Chimpion,$2.60,+1.26%,+17.15%,"$82,485,957","$372,766"
Syntropy,$0.1585,+3.39%,+23.65%,"$82,255,252","$350,240"
Hydra,$9.55,+2.83%,+8.93%,"$82,203,188","$499,417"
BitShares,$0.02739,+1.40%,+21.56%,"$82,009,504","$3,284,489"
Aergo,$0.2253,+1.93%,+16.20%,"$81,479,737","$4,994,000"
Loom Network,$0.08072,-0.22%,+20.50%,"$80,718,332","$15,529,058"
RichQUACK.com,$0.000000001811,+2.23%,+14.32%,"$79,828,559","$1,222,308"
Automata Network,$0.4624,+2.04%,+22.28%,"$79,645,745","$9,254,100"
MimbleWimbleCoin,$7.31,-2.81%,+5.68%,"$79,073,100","$145,598"
Thunder Token,$0.009123,-2.14%,+11.49%,"$78,586,179","$7,432,878"
MiL.k,$0.9981,-1.80%,+15.65%,"$78,014,322","$10,015,100"
Harvest Finance,$117.11,+3.07%,+14.27%,"$78,355,267","$14,706,934"
Ampleforth Governance Token,$7.40,+2.37%,+5.23%,"$77,307,039","$32,386,387"
Phala Network,$0.2835,+3.14%,+12.78%,"$77,101,552","$13,130,780"
Contentos,$0.01927,-0.41%,+18.73%,"$76,972,617","$41,324,130"
Ethernity Chain,$5.87,-3.83%,+20.30%,"$76,334,177","$32,034,476"
Boson Protocol,$1.10,+5.97%,+36.90%,"$76,486,128","$2,373,768"
KeeperDAO,$121.56,+6.90%,+14.74%,"$75,080,891","$845,278"
Elitium,$2.68,+1.66%,+1.40%,"$74,812,730","$1,046,495"
Zelwin,$1.03,-0.13%,-2.77%,"$74,590,872","$557,694"
MonaCoin,$1.13,+2.05%,+11.60%,"$74,478,469","$706,511"
LTO Network,$0.2503,+3.43%,+29.41%,"$74,416,961","$6,586,882"
Hifi Finance,$0.007388,+2.25%,+13.48%,"$73,880,966","$13,830,434"
DeFine,$1.31,+1.19%,-3.07%,"$73,611,041","$2,021,474"
Solanium,$1.23,+1.33%,+8.14%,"$73,581,393","$1,549,227"
Highstreet,$5.97,+1.99%,+14.61%,"$73,408,904","$16,244,764"
Tranchess,$1.19,+3.75%,+23.59%,"$73,505,092","$28,338,395"
XMON,"$48,888.12",+10.38%,+58.99%,"$73,083,715","$8,233,267"
GuildFi,$1.73,-0.65%,+14.57%,"$72,874,516","$1,529,603"
Rai Reflex Index,$3.03,-0.27%,-0.51%,"$72,663,397","$4,365,022"
PolySwarm,$0.04676,+1.58%,+7.55%,"$72,317,550","$1,720,546"
Cyclub,$0.05496,-0.90%,+24.25%,"$72,232,949","$5,749,941"
Komodo,$0.5543,+2.66%,+20.12%,"$72,147,602","$1,511,958"
Moss Coin,$0.1964,-0.91%,+4.25%,"$72,108,807","$5,258,790"
Morpheus.Network,$1.52,+3.34%,+49.32%,"$71,613,484","$503,696"
QuickSwap,$218.12,+8.95%,+12.14%,"$71,347,585","$12,528,395"
ICHI,$16.88,+0.07%,+1.64%,"$70,859,156","$331,217"
DAD,$0.1601,-0.44%,+11.76%,"$70,598,267","$453,143"
DerivaDAO,$2.69,-2.21%,+1.85%,"$70,301,799","$384,957"
Carry,$0.007943,+0.72%,+9.80%,"$69,777,025","$4,902,931"
TROY,$0.007746,+5.06%,+22.67%,"$68,979,377","$6,669,962"
ONUS,$0.6896,-1.92%,-0.28%,"$68,547,680","$969,804"
Ambire AdEx,$0.4785,+1.34%,+10.82%,"$68,438,398","$7,994,986"
Velo,$0.07214,-0.58%,+28.89%,"$68,321,065","$2,271,690"
Kava Lend,$0.6479,+3.60%,+21.03%,"$68,169,403","$8,132,171"
Streamr,$0.08872,+2.07%,+20.92%,"$68,059,721","$8,817,388"
Haven Protocol,$2.53,+3.46%,+50.49%,"$67,783,582","$994,912"
TitanSwap,$1.27,+1.29%,+11.74%,"$67,787,543","$54,916"
Ooki Protocol,$0.0221,+20.50%,+1.92%,"$67,913,811","$72,184,055"
Travala.com,$1.32,+4.50%,+15.33%,"$66,778,007","$4,666,234"
Qcash,$0.1449,-0.02%,-0.10%,"$66,650,757","$117,095,943"
SuperRare,$0.6503,+1.13%,-2.88%,"$66,167,968","$6,617,733"
BarnBridge,$10.86,+3.14%,+10.83%,"$65,950,222","$8,681,128"
Maple,$15.14,+0.76%,-1.08%,"$65,000,081","$2,875,607"
Cortex,$0.3406,-3.03%,+17.68%,"$64,875,770","$13,481,543"
Bluzelle,$0.1993,+15.58%,+56.06%,"$64,787,283","$26,524,045"
Strong,$467.34,-2.60%,-3.24%,"$64,617,997","$10,280,191"
PARSIQ,$0.4439,+6.58%,+21.55%,"$64,569,303","$1,804,452"
Grid+,$1.63,+1.42%,+9.27%,"$64,001,212","$1,265"
TokenPocket,$0.01845,-1.08%,+8.53%,"$63,960,414","$461,776"
DIA,$1.06,+2.02%,+16.62%,"$63,925,580","$6,071,311"
AXEL,$0.2256,+4.70%,+23.04%,"$63,877,278","$155,045"
DODO,$0.5777,+3.35%,+24.82%,"$63,871,344","$33,958,979"
Assemble Protocol,$0.05977,+1.80%,+12.09%,"$63,707,177","$1,497,487"
Splintershards,$0.1396,+8.09%,+17.68%,"$63,491,238","$3,444,129"
Kleros,$0.102,-0.27%,+16.02%,"$63,383,910","$1,544,184"
Cocos-BCX,$1.50,-3.53%,+19.42%,"$63,124,025","$25,552,145"
Cobak Token,$2.59,+0.58%,+8.94%,"$63,026,943","$6,070,090"
GameFi,$63.14,-5.89%,+12.34%,"$63,018,025","$1,193,653"
Rarible,$10.34,+6.10%,+15.01%,"$62,617,078","$2,587,698"
Atari Token,$0.04228,-3.52%,+9.41%,"$62,616,968","$427,155"
Star Atlas DAO,$2.87,+1.88%,+1.49%,"$61,982,406","$4,764,651"
Freeway Token,$0.01128,-0.22%,+2.94%,"$61,540,820","$264,023"
MixMarvel,$0.01308,-2.63%,+15.06%,"$61,472,065","$4,412,860"
Sentinel Protocol,$0.1329,+1.18%,+9.04%,"$61,106,391","$1,855,589"
WHALE,$8.13,-5.88%,+11.44%,"$61,046,083","$1,779,421"
GMT Token,$0.2564,+3.43%,+8.28%,"$60,880,060","$3,759,691"
Wrapped NXM,$35.96,-1.20%,+4.84%,"$60,306,307","$3,339,431"
BinaryX,$29.80,+17.57%,+47.91%,"$60,292,448","$29,930,983"
Litentry,$1.73,+4.81%,+27.14%,"$60,191,791","$26,547,106"
BSCPAD,$0.759,-2.83%,+6.02%,"$60,124,934","$2,183,159"
BoringDAO,$415.12,-29.05%,-24.09%,"$59,344,619","$10,301"
Firo,$4.60,-5.45%,+29.80%,"$59,300,671","$3,251,469"
Darma Cash,$0.2735,-4.45%,-5.74%,"$59,253,099","$40,255"
Tellor,$25.44,+1.71%,+30.71%,"$58,756,399","$9,950,518"
Maro,$0.08205,-0.19%,+15.07%,"$58,391,342","$376,493"
Alpaca Finance,$0.4094,+2.11%,+16.45%,"$57,927,748","$8,114,707"
SIX,$0.2111,-0.32%,+5.79%,"$57,798,290","$1,534,684"
Kava Swap,$1.71,-1.21%,+1.26%,"$57,729,356","$2,286,594"
Offshift,$11.91,+7.87%,+38.56%,"$57,667,039","$2,529,520"
Position Exchange,$1.98,+4.76%,+24.72%,"$57,614,213","$35,726,377"
Venus BUSD,$0.02137,-0.05%,-0.02%,"$57,599,224",N/A
Paris Saint-Germain Fan Token,$18.45,+1.62%,+30.36%,"$57,390,865","$36,952,178"
NewYork Exchange,$8.08,+6.96%,+11.53%,"$57,280,152","$1,411,732"
Mariande Staked SOL,$114.81,-0.37%,+8.49%,"$57,177,602","$30,530,124"
BitMart Token,$0.3235,-1.35%,-3.52%,"$56,199,629","$17,507,436"
Gas,$5.53,+3.03%,+18.34%,"$56,059,904","$12,963,918"
Shyft Network,$0.3833,+2.19%,-18.99%,"$56,040,076","$110,870"
district0x,$0.09338,+2.56%,+18.78%,"$56,030,567","$3,139,120"
Vai,$0.9257,+0.03%,+0.35%,"$55,856,154","$33,540"
Aion,$0.1113,+4.16%,+24.28%,"$55,839,966","$9,793,987"
SifChain,$0.09139,+1.99%,+24.33%,"$55,709,119","$326,449"
FLETA,$0.03552,-9.95%,-18.41%,"$55,508,533","$4,270,286"
NFTX,$135.70,+3.13%,+18.77%,"$55,441,419","$216,197"
Energi,$1.11,-1.94%,+21.90%,"$55,301,119","$178,381"
SHPING,$0.03186,+10.16%,+3.12%,"$55,299,046","$8,228,971"
Akropolis,$0.01587,+2.92%,+27.39%,"$55,253,659","$6,183,204"
Refereum,$0.01103,-0.11%,+8.97%,"$55,136,419","$1,594,322"
League of Kingdoms Arena,$2.20,-2.51%,+14.84%,"$55,124,930","$15,711,901"
FIO Protocol,$0.1156,-1.69%,+20.92%,"$54,738,482","$3,068,307"
BioPassport Token,$0.03116,-1.87%,-6.24%,"$54,686,899","$3,627,785"
Shiden Network,$1.07,+2.77%,+4.26%,"$54,506,227","$1,504,070"
CoinLoan,$27.75,+2.13%,+10.88%,"$54,118,860","$237,670"
NULS,$0.5419,-6.48%,+49.07%,"$53,980,501","$81,293,234"
Sentinel,$0.008072,-2.28%,+2.47%,"$53,802,679","$2,031,029"
Quantstamp,$0.07524,+13.25%,+0.68%,"$53,703,199","$10,140,622"
Obyte,$66.15,+0.76%,+226.53%,"$53,154,168","$10,564"
Throne,$0.1365,-13.82%,-5.90%,"$53,139,285","$1,866,713"
Metronome,$3.87,+6.62%,+17.07%,"$52,899,355","$82,525"
Saito,$0.04938,-2.08%,+35.49%,"$52,560,759","$2,087,581"
ApeSwap Finance,$0.5525,+2.86%,+11.23%,"$52,463,533","$539,981"
1eco,$2.76,+4.54%,+8.98%,"$52,335,274","$1,194,673"
TABOO TOKEN,$0.005337,+0.83%,+39.54%,"$52,208,500","$1,538,015"
Groestlcoin,$0.6563,+1.26%,+12.84%,"$52,112,664","$9,415,512"
Gods Unchained,$2.19,-0.66%,-2.49%,"$51,816,907","$9,067,349"
ScPrime,$1.26,-1.22%,+22.71%,"$51,472,758","$41,150"
VideoCoin,$0.3204,+4.85%,+0.17%,"$51,416,053","$502,329"
Bella Protocol,$1.06,+1.31%,+23.31%,"$50,982,915","$13,809,365"
RAMP,$0.1225,+1.65%,+17.44%,"$50,958,348","$2,680,279"
Adshares,$2.24,+7.69%,+11.22%,"$50,832,021","$2,343,228"
Fusion,$0.717,+2.49%,+15.25%,"$50,792,895","$1,511,358"
Steem Dollars,$4.78,+1.32%,+6.88%,"$50,312,632","$1,632,362"
Liquity,$3.07,+1.40%,+4.40%,"$49,629,563","$2,136,165"
BabySwap,$0.3127,-4.46%,-10.73%,"$49,095,701","$1,327,744"
DigixDAO,$637.29,+7.91%,+26.51%,"$48,962,993",$869
Waltonchain,$0.6186,+6.45%,+22.78%,"$48,693,570","$2,558,437"
Bytom,$0.02936,+0.59%,+6.30%,"$48,077,288","$2,484,358"
Wirex Token,$0.004805,+8.35%,+14.93%,"$48,048,846","$1,008,238"
DeFi Land,$0.08154,+30.59%,+27.61%,"$47,810,481","$5,664,111"
Lido DAO Token,$1.95,+0.47%,-5.35%,"$47,766,700","$5,485,402"
Tokenlon Network Token,$1.07,+1.48%,+7.75%,"$47,757,987","$3,609,500"
Hoge Finance,$0.0001186,-3.55%,+26.42%,"$47,692,481","$177,021"
Neutrino Token,$18.97,+11.89%,+45.75%,"$47,535,646","$76,293"
Valobit,$0.03932,-1.03%,+0.51%,"$47,218,831","$164,271"
StackOs,$0.132,+2.09%,+5.38%,"$46,930,413","$1,176,871"
MANTRA DAO,$0.1099,+1.93%,+18.74%,"$46,873,458","$4,354,194"
Apollo Currency,$0.002212,-1.27%,+20.44%,"$46,825,394","$4,590,812"
Glitch,$0.5891,+3.23%,+40.96%,"$46,708,498","$1,017,195"
Hacken Token,$0.09826,+1.73%,+13.37%,"$46,602,932","$2,882,602"
Polkadex,$7.78,-0.14%,+10.22%,"$46,536,160","$347,366"
YIELD App,$0.3179,+3.11%,+17.86%,"$46,341,494","$347,617"
Measurable Data Token,$0.06822,+1.35%,+19.88%,"$46,129,412","$11,400,607"
HOPR,$0.3058,-10.86%,+25.91%,"$45,570,411","$2,552,335"
Revolution Populi,$0.0379,+3.49%,+32.22%,"$45,485,498","$119,424"
LATOKEN,$0.1187,+8.92%,+22.44%,"$45,129,612","$132,185"
RAI Finance,$0.2549,-0.55%,+5.89%,"$44,969,972","$837,158"
AnimalGo,$0.0465,+18.53%,+26.10%,"$44,961,869","$5,845,016"
Venus XVS,$0.2,+2.19%,+28.85%,"$44,878,396",N/A
SUKU,$0.3755,-0.89%,-9.41%,"$44,738,884","$11,670,296"
Selfkey,$0.008684,+3.91%,+27.61%,"$44,027,938","$17,399,770"
dForce,$0.1124,+2.25%,+10.56%,"$43,897,151","$1,397,584"
SpiritSwap,$0.1452,+2.51%,+18.64%,"$43,820,414","$1,043,904"
Bitrue Coin,$0.3328,-1.03%,+3.25%,"$43,732,707","$9,543,328"
BOSAGORA,$0.1437,+0.48%,+11.82%,"$43,616,723","$947,987"
Civilization,$0.1448,+3.68%,+21.41%,"$43,441,309","$83,314"
PowerPool,$1.17,+1.50%,+11.92%,"$43,399,051","$2,415,761"
ReapChain,$0.2027,+2.61%,+35.32%,"$43,376,061","$3,102,144"
Karura,$1.94,+2.40%,+8.39%,"$43,247,617","$1,599,141"
CoinEx Token,$0.06089,+1.49%,+17.07%,"$43,149,798","$819,732"
Fuse Network,$0.7838,-0.86%,+16.51%,"$43,142,942","$973,972"
Mithril,$0.04271,+0.86%,+19.96%,"$42,710,960","$7,179,697"
Frontier,$0.5324,+3.81%,+10.26%,"$42,265,505","$7,572,782"
EPIK Prime,$0.1782,-3.16%,+25.64%,"$41,761,479","$785,177"
mStable USD,$1.01,+0.83%,+0.85%,"$41,503,171","$233,674"
FirmaChain,$0.1229,+1.98%,+9.67%,"$41,306,569","$2,889,082"
Beam,$0.3821,+0.34%,+12.14%,"$41,093,546","$4,251,370"
Impossible Finance Launchpad,$0.907,+11.72%,+12.63%,"$40,813,606","$625,791"
AMO Coin,$0.002114,+3.48%,+13.85%,"$40,540,912","$962,008"
Aurox,$77.55,+5.75%,+19.75%,"$40,476,944","$305,119"
VerusCoin,$0.6039,-2.36%,-10.34%,"$40,311,115","$10,369"
SOLVE,$0.09231,+1.90%,+10.48%,"$40,186,283","$602,603"
Newscrypto,$0.2669,+4.64%,+23.36%,"$40,142,906","$6,191,620"
SIDUS HEROES,$0.07333,+1.34%,+26.21%,"$40,038,616","$1,590,636"
Cellframe,$1.38,+8.79%,+66.61%,"$39,682,514","$1,497,237"
BASIC,$0.005736,+2.38%,+20.52%,"$39,624,969","$2,057,161"
MileVerse,$0.02232,+0.22%,+8.91%,"$39,624,315","$14,451,250"
Mirrored iShares Gold Trust,$34.90,+1.45%,+0.64%,"$39,222,532","$423,399"
CONUN,$0.01347,-0.96%,+11.28%,"$39,035,876","$1,256,576"
ERC20,$0.03456,-7.61%,+2.58%,"$39,007,589","$5,180"
Manchester City Fan Token,$10.98,+3.89%,+17.66%,"$38,514,281","$7,698,352"
Stratos,$1.90,+5.35%,+20.32%,"$38,267,671","$956,061"
MultiVAC,$0.01065,+6.96%,+49.49%,"$38,220,262","$4,126,237"
Pangolin,$0.4501,+1.87%,+32.42%,"$37,826,392","$2,164,897"
PlanetWatch,$0.2479,+2.85%,-14.18%,"$37,231,479","$496,962"
ZIMBOCASH,$0.02334,-1.43%,+1.01%,"$37,118,914","$8,869"
Aragon Court,$0.2885,+1.71%,+28.72%,"$37,115,683","$66,246"
Dock,$0.04971,+3.37%,+20.91%,"$37,032,912","$2,602,424"
SORA,$90.50,-3.54%,-3.18%,"$37,015,550","$2,748,997"
LGCY Network,$0.002885,-1.95%,+6.33%,"$36,673,752","$81,043"
Aeternity,$0.1043,+0.76%,+15.13%,"$36,569,115","$1,760,538"
Bytecoin,$0.0001979,+2.57%,+11.40%,"$36,435,951","$40,667"
Moneytoken,$0.003186,+3.11%,+2286.37%,"$36,234,912",N/A
Marlin,$0.04921,+1.65%,+16.57%,"$36,228,274","$18,157,777"
New BitShares,$0.01378,+6.87%,+27.03%,"$36,011,445","$5,295,662"
AhaToken,$0.01095,-0.83%,+12.77%,"$35,864,715","$2,092,409"
Unisocks,"$116,999.38",+5.17%,+14.72%,"$35,332,349","$12,164"
Burger Swap,$1.92,+3.03%,+13.73%,"$34,671,475","$6,248,463"
Mirrored ProShares VIX,$15.62,-2.75%,-8.12%,"$34,494,502","$107,514"
Super Zero Protocol,$0.1001,-0.38%,-2.98%,"$34,369,868","$354,624"
Kryll,$0.8948,+3.06%,+10.66%,"$34,122,037","$402,525"
Rainicorn,$0.06983,+0.76%,+11.25%,"$33,962,006","$133,203"
Ternoa,$0.06847,+3.19%,+2.96%,"$33,905,318","$597,962"
BTSE,$7.78,+1.35%,-0.56%,"$33,879,651","$2,110,662"
StarTerra,$1.40,-1.85%,+4.15%,"$33,874,367","$105,701"
MAPS,$0.7933,+3.41%,+53.88%,"$33,758,727","$2,359,608"
Bounce Finance Governance Token,$16.18,+1.67%,+20.11%,"$33,726,988","$1,898,681"
CargoX,$0.1624,-2.53%,+5.27%,"$33,709,651","$23,050"
PolkaFoundry,$0.874,-0.47%,+16.06%,"$33,595,358","$662,583"
Opulous,$0.807,+5.24%,+7.15%,"$33,515,724","$1,866,136"
Sentivate,$0.009348,+6.82%,+28.41%,"$33,498,190","$683,771"
GNY,$0.174,-8.75%,+13.18%,"$33,463,950","$26,986"
Hot Cross,$0.2928,+1.68%,+4.52%,"$33,308,567","$3,241,162"
Hermez Network,$7.08,-0.73%,-2.66%,"$33,267,969","$283,730"
Dego Finance,$3.86,-9.41%,+8.49%,"$33,210,176","$38,707,232"
Hegic,$0.04705,+2.69%,+5.99%,"$33,112,858","$2,491,844"
S.S. Lazio Fan Token,$3.85,+5.47%,+20.28%,"$33,103,343","$35,231,058"
Invictus Hyperion Fund,$0.2812,-0.69%,-9.23%,"$33,075,338",$848
ZKSwap,$0.1671,-1.10%,-1.49%,"$33,000,585","$2,873,967"
ZEON,$0.00108,+6.68%,+10.12%,"$32,962,334","$899,020"
v.systems,$0.01322,+0.27%,+5.30%,"$32,828,242","$945,958"
ForTube,$0.05123,+1.30%,+16.80%,"$32,760,519","$6,167,676"
TerraKRW,$0.0008483,+2.61%,+1.62%,"$32,740,955","$52,349"
Electric Vehicle Zone,$0.0735,+8.87%,+27.40%,"$32,540,031","$3,606,704"
WaykiChain,$0.1545,+1.75%,+8.25%,"$32,439,334","$1,723,739"
pNetwork,$0.7096,+2.37%,+19.54%,"$32,302,362","$5,117,263"
REVV,$0.1159,+3.92%,+13.55%,"$32,253,311","$3,737,215"
Ultiledger,$0.01136,-0.07%,-5.61%,"$32,232,193","$31,598"
Venus USDT,$0.02158,+0.02%,+0.09%,"$32,067,555",N/A
Dragonchain,$0.08633,+3.10%,+25.55%,"$32,009,094","$172,412"
