name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Velas,$0.3223,+12.67%,+33.49%,"$727,853,111","$11,194,278"
Livepeer,$33.51,+8.68%,+26.80%,"$709,305,079","$49,160,855"
renBTC,"$44,075.74",+1.10%,+18.89%,"$708,883,213","$1,454,121"
Audius,$1.16,+7.93%,+27.31%,"$703,948,582","$15,638,891"
WAX,$0.3648,+1.97%,+11.11%,"$703,668,049","$31,371,014"
Zilliqa,$0.05609,+3.09%,+28.27%,"$694,366,456","$39,649,431"
Ankr,$0.08496,+0.01%,+14.05%,"$693,484,588","$48,517,876"
Bancor,$2.79,+1.47%,+16.64%,"$693,261,021","$14,567,426"
Render Token,$3.25,-1.30%,-1.53%,"$693,046,733","$47,887,421"
Gnosis,$353.49,+5.17%,+24.27%,"$659,267,770","$7,252,939"
Synthetix,$5.63,+4.25%,+8.13%,"$647,121,512","$49,760,649"
APENFT,$0.000002335,+0.47%,+19.89%,"$647,040,305","$218,463,527"
Bitcoin Gold,$36.73,+5.17%,+25.32%,"$643,288,697","$28,415,804"
Immutable X,$2.81,+2.67%,-14.73%,"$633,703,791","$63,938,105"
Revain,$0.007437,-0.06%,+35.79%,"$632,590,862","$2,740,717"
WOO Network,$0.7035,-6.21%,+35.02%,"$628,456,254","$43,583,626"
SwissBorg,$0.6219,-0.72%,+3.01%,"$621,864,239","$966,555"
Rally,$0.257,+3.23%,+15.20%,"$620,951,289","$4,581,196"
Dogelon Mars,$0.000001097,+3.11%,+38.68%,"$608,395,131","$17,082,337"
SushiSwap,$4.75,+2.13%,+17.42%,"$604,369,945","$141,613,199"
ICON,$0.8485,+1.13%,+21.03%,"$598,887,951","$17,179,627"
0x,$0.7053,+4.59%,+23.16%,"$597,701,857","$42,386,385"
Siacoin,$0.01185,+1.49%,+19.51%,"$594,069,066","$18,824,419"
Voyager Token,$2.12,+4.23%,+18.85%,"$589,725,652","$8,010,536"
Spell Token,$0.007109,-2.36%,+18.35%,"$585,782,147","$83,609,188"
Horizen,$48.21,+1.13%,+28.48%,"$580,936,340","$32,935,668"
Kava,$3.71,-0.22%,+17.29%,"$566,274,757","$83,129,480"
Syscoin,$0.8842,+6.13%,+25.60%,"$559,683,588","$18,700,889"
GateToken,$6.95,+1.10%,+2.77%,"$543,535,680","$6,297,358"
dYdX,$8.17,+9.71%,+40.22%,"$535,580,070","$239,271,050"
IOST,$0.02953,-0.55%,+18.54%,"$534,516,529","$35,213,055"
Ontology,$0.59,-0.63%,+24.33%,"$516,391,699","$62,744,323"
Telcoin,$0.008607,+9.85%,+23.56%,"$508,614,478","$10,257,376"
Storj,$1.32,-2.34%,+16.24%,"$506,669,112","$28,099,048"
Nervos Network,$0.01671,+2.58%,+12.61%,"$496,670,947","$8,383,912"
Perpetual Protocol,$6.53,+0.66%,+9.68%,"$486,204,518","$15,110,718"
Moonbeam,$5.77,+2.02%,+17.08%,"$472,838,716","$29,018,464"
Illuvium,$717.81,+3.49%,+23.68%,"$461,475,575","$28,162,185"
